title,channel-name,link,photo
b'Machine Learning',b'5 Minutes Engineering',https://www.youtube.com/watch?v=Y4qO9unerGs&list=PLYwpaL_SFmcBhOEPwf5cFwqo5B-cP9G4P,https://i.ytimg.com/vi/Y4qO9unerGs/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAUsFchk1gRCi9sZW-R5roCAzFmwA
b'MACHINE LEARNING',b'Trouble- Free',https://www.youtube.com/watch?v=mNB8NlwhAgg&list=PLmAmHQ-_5ySyQeEryrlomrEvOGNYN3TAL,https://i.ytimg.com/vi/mNB8NlwhAgg/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAvGWxBNwFf-mzsqq8w4j6Bxdy--Q
b'Complete Machine Learning playlist',b'Krish Naik',https://www.youtube.com/watch?v=bPrmA1SEN2k&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe,
b'Machine Learning Tutorial Python | Machine Learning For Beginners',b'codebasics',https://www.youtube.com/watch?v=gmvvaobm7eQ&list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw,
"b'Machine Learning \xe2\x80\x94 Andrew Ng, Stanford University [FULL COURSE]'",b'Artificial Intelligence - All in One',https://www.youtube.com/watch?v=PPLop4L2eGk&list=PLLssT5z_DsK-h9vYZkQkYNWcItqhlRJLN,
b'Machine Learning Tutorials For Beginners Using Python In Hindi',b'CodeWithHarry',https://www.youtube.com/watch?v=_u-PaJCpwiU&list=PLu0W_9lII9ai6fAMHp-acBmJONT7Y4BSG,
