title,channel-name,link,photo
b'NodeJS Tutorial in Hindi 2020',b'Thapa Technical',https://www.youtube.com/watch?v=IIpiLZGTWuo&list=PLwGdqUZWnOp00IbeN0OtL9dmnasipZ9x8,https://i.ytimg.com/vi/IIpiLZGTWuo/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLA210DGCC2x07Ybl39ze4_crWrYLg
b'Node.js Crash Course Tutorial',b'The Net Ninja',https://www.youtube.com/watch?v=zb3Qk8SG5Ms&list=PL4cUxeGkcC9jsz4LDYc6kv3ymONOKxwBU,https://i.ytimg.com/vi/zb3Qk8SG5Ms/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDfKp3HqYXQzGDt6c-S-1zzc5AADQ
b'Node JS',b'Geeky Shows',https://www.youtube.com/watch?v=5XzUdbYNWrA&list=PLbGui_ZYuhiiSVvVP_9w57-aU7kx_H9bu,https://i.ytimg.com/vi/5XzUdbYNWrA/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDDkGIMkCEuNxKpmOZh_jgXAeL-NQ
b'Node js tutorial for beginners in Hindi',b'Code Step By Step',https://www.youtube.com/watch?v=_30Nn8urbmU&list=PL8p2I9GklV44X970xDCQvts19-0XQWMeA,
