title,channel-name,link,photo
b'Web Development Course',b'Apna College',https://www.youtube.com/watch?v=l1EssrLxt7E&list=PLfqMhTWNBTe3H6c9OGXb5_6wcc1Mca52n,https://i.ytimg.com/vi/l1EssrLxt7E/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBeHsL0IAwmp4nDP4YTVkzvG9Z2OA
"b'Web Development Tutorials For Beginners In Hindi: HTML, CSS, JavaScript & More'",b'CodeWithHarry',https://www.youtube.com/watch?v=6mbwJ2xhgzM&list=PLu0W_9lII9agiCUZYRsvtGTXdxkzPyItg,https://i.ytimg.com/vi/6mbwJ2xhgzM/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBvlMuWkLXMncxKtS-odl1tOp17Mw
b'Complete Web Development Course',b'Pepcoding',https://www.youtube.com/watch?v=mrEcfu-ByDw&list=PL-Jc9J83PIiEeD3I4VXETPDmzJ3Z1rWb4,https://i.ytimg.com/vi/mrEcfu-ByDw/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAnU6uWpA8EpIctu696wazYd17WJA
b'complete web development course',b'TECHNOGURU AMIT',https://www.youtube.com/watch?v=hpMIQ1lM3Fs&list=PLcnuXGrBAu2iRf8NqkRaLu9ulztzPk6-9,
b'Web Development by SidTalk',b'SidTalk',https://www.youtube.com/watch?v=IXlqgDtmsMY&list=PL3-w5N_JJnKK6gFaB1wdbJdDF_4kwXuiB,
